#Bucket,PerfectCC-
2.970000000000000000e+02,4.579200000000000000e+04
2.980000000000000000e+02,4.298300000000000000e+04
2.990000000000000000e+02,4.192300000000000000e+04
3.000000000000000000e+02,4.372500000000000000e+04
3.010000000000000000e+02,4.414900000000000000e+04
3.020000000000000000e+02,4.202900000000000000e+04
3.030000000000000000e+02,4.388400000000000000e+04
3.040000000000000000e+02,4.404300000000000000e+04
3.050000000000000000e+02,4.245300000000000000e+04
3.060000000000000000e+02,4.452000000000000000e+04
3.070000000000000000e+02,4.399000000000000000e+04
3.080000000000000000e+02,4.202900000000000000e+04
3.090000000000000000e+02,4.308900000000000000e+04
3.100000000000000000e+02,4.414900000000000000e+04
3.110000000000000000e+02,4.229400000000000000e+04
3.120000000000000000e+02,4.388400000000000000e+04
3.130000000000000000e+02,4.361900000000000000e+04
3.140000000000000000e+02,4.282400000000000000e+04
3.150000000000000000e+02,4.377800000000000000e+04
3.160000000000000000e+02,4.361900000000000000e+04
3.170000000000000000e+02,4.277100000000000000e+04
3.180000000000000000e+02,4.361900000000000000e+04
3.190000000000000000e+02,4.383100000000000000e+04
3.200000000000000000e+02,4.261200000000000000e+04
3.210000000000000000e+02,4.367200000000000000e+04
3.220000000000000000e+02,4.287700000000000000e+04
3.230000000000000000e+02,4.298300000000000000e+04
3.240000000000000000e+02,4.367200000000000000e+04
3.250000000000000000e+02,4.478500000000000000e+04
3.260000000000000000e+02,4.181700000000000000e+04
3.270000000000000000e+02,4.420200000000000000e+04
3.280000000000000000e+02,4.245300000000000000e+04
3.290000000000000000e+02,4.420200000000000000e+04
3.300000000000000000e+02,4.356600000000000000e+04
3.310000000000000000e+02,4.250600000000000000e+04
3.320000000000000000e+02,4.393700000000000000e+04
3.330000000000000000e+02,4.361900000000000000e+04
3.340000000000000000e+02,4.308900000000000000e+04
3.350000000000000000e+02,4.303600000000000000e+04
3.360000000000000000e+02,4.452000000000000000e+04
3.370000000000000000e+02,4.218800000000000000e+04
3.380000000000000000e+02,4.324800000000000000e+04
3.390000000000000000e+02,4.351300000000000000e+04
3.400000000000000000e+02,4.330100000000000000e+04
3.410000000000000000e+02,4.330100000000000000e+04
3.420000000000000000e+02,4.351300000000000000e+04
3.430000000000000000e+02,4.361900000000000000e+04
3.440000000000000000e+02,4.335400000000000000e+04
3.450000000000000000e+02,4.372500000000000000e+04
3.460000000000000000e+02,4.271800000000000000e+04
3.470000000000000000e+02,4.414900000000000000e+04
3.480000000000000000e+02,4.255900000000000000e+04
3.490000000000000000e+02,4.346000000000000000e+04
3.500000000000000000e+02,4.324800000000000000e+04
3.510000000000000000e+02,4.293000000000000000e+04
3.520000000000000000e+02,4.367200000000000000e+04
3.530000000000000000e+02,4.308900000000000000e+04
3.540000000000000000e+02,4.330100000000000000e+04
3.550000000000000000e+02,4.420200000000000000e+04
3.560000000000000000e+02,4.351300000000000000e+04
3.570000000000000000e+02,4.255900000000000000e+04
3.580000000000000000e+02,4.372500000000000000e+04
3.590000000000000000e+02,4.356600000000000000e+04
3.600000000000000000e+02,4.372500000000000000e+04
3.610000000000000000e+02,4.287700000000000000e+04
3.620000000000000000e+02,4.319500000000000000e+04
3.630000000000000000e+02,4.351300000000000000e+04
3.640000000000000000e+02,4.324800000000000000e+04
